Name;EnumNumber;Explanation
Identifier;6;A simple identifier, always begins with a letter or '', and is followed by letters, numbers, or ''.
Ieq;60;The case insensitive equal operator '-ieq' or '-eq'.
If;138;The 'if' keyword.
Ige;62;The case insensitive greater than or equal operator '-ige' or '-ge'.
Igt;63;The case insensitive greater than operator '-igt' or '-gt'.
Iin;73;The case insensitive in operator '-iin' or '-in'.
Ile;65;The case insensitive less than or equal operator '-ile' or '-le'.
Ilike;66;The case insensitive like operator '-ilike' or '-like'.
Ilt;64;The case insensitive less than operator '-ilt' or '-lt'.
Imatch;68;The case insensitive match operator '-imatch' or '-match'.
In;139;The 'in' keyword.
Ine;61;The case insensitive not equal operator '-ine' or '-ne'.
InlineScript;154;The 'InlineScript' keyword
Inotcontains;72;The case insensitive notcontains operator '-inotcontains' or '-notcontains'.
Inotin;74;The case insensitive notin operator '-inotin' or '-notin'
Inotlike;67;The case insensitive not like operator '-inotlike' or '-notlike'.
Inotmatch;69;The case insensitive not match operator '-inotmatch' or '-notmatch'.
Interface;160;The 'interface' keyword
Ireplace;70;The case insensitive replace operator '-ireplace' or '-replace'.
Is;92;The type test operator '-is'.
IsNot;93;The type test operator '-isnot'.
Isplit;75;The case insensitive split operator '-isplit' or '-split'.
Join;59;The join operator '-join'.
Label;5;A label token - always begins with ':', followed by the label name. Tokens with this kind are always instances of LabelToken.
LBracket;20;The opening square brace token '['.
LCurly;18;The opening curly brace token '{'.
LineContinuation;9;A line continuation (backtick followed by newline).
LParen;16;The opening parenthesis token '('.
Minus;41;The substraction operator '-'.
MinusEquals;44;The subtraction assignment operator '-='.
MinusMinus;31;The pre-decrement operator '--'.
Module;163;The 'module' keyword
Multiply;37;The multiplication operator '*'.
MultiplyEquals;45;The multiplcation assignment operator '*='.
Namespace;162;The 'namespace' keyword
NewLine;8;A newline (one of '\n', '\r', or '\r\n').
Not;51;The logical not operator '-not'.
Number;4;Any numerical literal token. Tokens with this kind are always instances of NumberToken.
Or;54;The logical or operator '-or'.
OrOr;27;The (unimplemented) operator '||'.
Parallel;152;The 'parallel' keyword.
Param;140;The 'param' keyword.
Parameter;3;A parameter to a command, always begins with a dash ('-'), followed by the parameter name. Tokens with this kind are always instances of ParameterToken.
Pipe;29;The pipe operator '|'.
Plus;40;The addition operator '+'.
PlusEquals;43;The addition assignment operator '+='.
PlusPlus;32;The pre-increment operator '++'.
PostfixMinusMinus;96;The post-decrement operator '--'.
PostfixPlusPlus;95;The post-increment operator '++'.
Private;158;The 'private' keyword
Process;141;The 'process' keyword.
Public;157;The 'public' keyword
QuestionDot;103;
QuestionLBracket;104;
QuestionMark;100;
QuestionQuestion;102;
QuestionQuestionEquals;101;
RBracket;21;The closing square brace token ']'.
RCurly;19;The closing curly brace token '}'.
RedirectInStd;49;The (unimplemented) stdin redirection operator '<'.
Redirection;48;A redirection operator such as '2>&1' or '>>'.
Rem;39;The modulo division (remainder) operator '%'.
RemainderEquals;47;The modulo division (remainder) assignment operator '%='.
Return;142;The 'return' keyword.
RParen;17;The closing parenthesis token ')'.
Semi;25;"The statement terminator ';'."
Sequence;153;The 'sequence' keyword.
Shl;97;The shift left operator.
Shr;98;The shift right operator.
SplattedVariable;2;A splatted variable token, always begins with '@' and followed by the variable name. Tokens with this kind are always instances of VariableToken.
Static;159;The 'static' keyword
StringExpandable;13;A double quoted string literal. Tokens with this kind are always instances of StringExpandableToken even if there are no nested tokens to expand.
StringLiteral;12;A single quoted string literal. Tokens with this kind are always instances of StringLiteralToken.
Switch;143;The 'switch' keyword.
Throw;144;The 'throw' keyword.
Trap;145;The 'trap' keyword.
Try;146;The 'try' keyword.
Type;164;The 'type' keyword
Unknown;0;An unknown token, signifies an error condition.
Until;147;The 'until' keyword.
Using;148;The (unimplemented) 'using' keyword.
Var;149;The (unimplemented) 'var' keyword.
Variable;1;A variable token, always begins with '$' and followed by the variable name, possibly enclose in curly braces. Tokens with this kind are always instances of VariableToken.
While;150;The 'while' keyword.
Workflow;151;The 'workflow' keyword.
Xor;55;The logical exclusive or operator '-xor'.
